concept_code,concept_name,db_field,source_type,cost_center,role_type,display_order,active,amount
SATURDAY_WEEK_1,Sabado,saturday_week_1_qty,SERVICES,SERVICES,DRIVER,10,true,11905.2450
SUNDAY_WEEK_1,Domingo,sunday_week_1_qty,SERVICES,SERVICES,DRIVER,11,true,15038.2043
WEEKEND_CLEANING,Aseo Fin de Semana,weekend_cleaning_qty,SERVICES,SERVICES,DRIVER,12,true,17.4319
WEEKEND_DRYING,Secado Fin de Semana,weekend_drying_qty,SERVICES,SERVICES,DRIVER,13,true,551.4008
SATURDAY_AFTER_1600,Sabado > 16:00,saturday_after_1600_qty,SERVICES,SERVICES,DRIVER,14,true,10025.4695
SUNDAY_AFTER_1600,Domingo > 16:00,sunday_after_1600_qty,SERVICES,SERVICES,DRIVER,15,true,11278.6532
RILES_SUCTION,Succión Riles (M3),riles_suction_flag,SERVICES,SERVICES,DRIVER,16,true,2527.4700
CLEANING,Aseo,cleaning_flag,SERVICES,SERVICES,ASSISTANT,1,true,138.6900
DRYING,Secado,drying_flag,SERVICES,SERVICES,ASSISTANT,2,true,138.6900
DISPATCH_RETRIEVAL,Despacho / Retiro,dispatch_flag,SERVICES,SERVICES,ASSISTANT,3,true,376.7400
ENTRY_BEFORE_0730,Entrada < 07:30,entry_before_0730_qty,SERVICES,SERVICES,ASSISTANT,4,true,1253.3850
EXIT_AFTER_1930,Salida > 19:30,exit_after_1930_qty,SERVICES,SERVICES,ASSISTANT,5,true,7519.2750
OUTSIDE_RADIUS,Fuera Radio Normal,outside_radius_flag,SERVICES,SERVICES,ASSISTANT,6,true,2820.3750
OUTSIDE_RADIUS_V_REGION,Fuera Radio V Región,outside_radius_v_region_qty,SERVICES,SERVICES,ASSISTANT,7,true,5012.5050
KIT_DELIVERY,Entrega Kit,kit_delivery_flag,SERVICES,SERVICES,ASSISTANT,8,true,138.6900
LAVATORY_LOAD,Carga Lavamanos,lavatory_load_flag,SERVICES,SERVICES,ASSISTANT,9,true,24.8400
SATURDAY_WEEK_1,Sabado,saturday_week_1_qty,SERVICES,SERVICES,ASSISTANT,10,true,11905.6050
SUNDAY_WEEK_1,Domingo,sunday_week_1_qty,SERVICES,SERVICES,ASSISTANT,11,true,15038.5500
WEEKEND_CLEANING,Aseo Fin de Semana,weekend_cleaning_qty,SERVICES,SERVICES,ASSISTANT,12,true,275.3100
WEEKEND_DRYING,Secado Fin de Semana,weekend_drying_qty,SERVICES,SERVICES,ASSISTANT,13,true,275.3100
SATURDAY_AFTER_1600,Sabado > 16:00,saturday_after_1600_qty,SERVICES,SERVICES,ASSISTANT,14,true,8772.6600
SUNDAY_AFTER_1600,Domingo > 16:00,sunday_after_1600_qty,SERVICES,SERVICES,ASSISTANT,15,true,10025.0100
RILES_SUCTION,Succión Riles (M3),riles_suction_flag,SERVICES,SERVICES,ASSISTANT,16,true,1253.3850
